cog,complex,complex_annotation,func,gene_name
"Translation, ribosomal structure, and biogenesis",CPLX0-7718,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,arnA
Cell wall/membrane/envelope biogenesis,CPLX0-8013,UDP-N-acetyl-D-mannosamine dehydrogenase,UDP-N-acetyl-D-mannosamine dehydrogenase,wecC
Cell wall/membrane/envelope biogenesis,CPLX0-8008,UDP-N-acetylglucosamine 2-epimerase,UDP-N-acetylglucosamine 2-epimerase,wecB
Cell wall/membrane/envelope biogenesis,CPLX0-8011,UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,wecA
Cell wall/membrane/envelope biogenesis,CPLX0-8014,UDP-N-acetylmuramate-L-alanine ligase,UDP-N-acetylmuramate-L-alanine ligase,murC
Cell wall/membrane/envelope biogenesis,UDPGLUCEPIM-CPLX,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,galE
Cell wall/membrane/envelope biogenesis,CPLX0-8098,UDP-glucose 6-dehydrogenase,UDP-glucose 6-dehydrogenase,ugd
Nucleotide transport and metabolism,UMPKI-CPLX,UMP kinase,UMP kinase,pyrH
Cell wall/membrane/envelope biogenesis,CPLX0-8205,UTP-glucose-1-phosphate uridylyltransferase,UTP-glucose-1-phosphate uridylyltransferase,galU
Energy production and conversion,CPLX0-8301,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,ubiF
Energy production and conversion,CPLX0-8301,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,ubiH
Energy production and conversion,CPLX0-8301,2-octaprenylphenol 6-hydroxylase,2-octaprenylphenol 6-hydroxylase,ubiI
Coenzyme transport and metabolism,CPLX0-8301,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase","bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase",ubiE
Coenzyme transport and metabolism,CPLX0-8301,bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,ubiG
Coenzyme transport and metabolism,CPLX0-8301,ubiquinone biosynthesis accessory factor UbiJ,ubiquinone biosynthesis accessory factor UbiJ,yigP
Function unknown,CPLX0-8301,ubiquinone biosynthesis accessory factor UbiK,ubiquinone biosynthesis accessory factor UbiK,yqiC
Transcription,CPLX0-7754,"UhpA-Phosphorylated // ""DNA-binding transcriptional activator UhpA""","UhpA-Phosphorylated // ""DNA-binding transcriptional activator UhpA""",uhpA
Nucleotide transport and metabolism,CPLX0-3948,ITPase/XTPase,ITPase/XTPase,yjjX
Aminio acid transport and metabolism,CPLX0-3081,Xaa-Pro aminopeptidase,Xaa-Pro aminopeptidase,pepP
Aminio acid transport and metabolism,CPLX0-8156,Xaa-Pro dipeptidase,Xaa-Pro dipeptidase,pepQ
"Replication, recombination, and repair",CPLX0-3959,site-specific tyrosine recombinase,site-specific tyrosine recombinase,xerC
"Replication, recombination, and repair",CPLX0-3959,site-specific recombinase,site-specific recombinase,xerD
Defense Mechanisms,CPLX0-3781,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,yefM
Defense Mechanisms,CPLX0-3781,ribosome-dependent mRNA interferase toxin YoeB,ribosome-dependent mRNA interferase toxin YoeB,yoeB
Transcription,CPLX0-7624,antitoxin PrlF,antitoxin PrlF,prlF
No Specific COG Annotation,CPLX0-7624,ribosome-dependent mRNA interferase toxin YhaV,ribosome-dependent mRNA interferase toxin YhaV,yhaV
"Cell cycle control, cell division, chromosome partitioning",CPLX0-8188,Z-ring positioning protein MinC,Z-ring positioning protein MinC,minC
"Cell cycle control, cell division, chromosome partitioning",CPLX0-8196,Z-ring positioning protein MinC,Z-ring positioning protein MinC,minC
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter periplasmic binding protein,Zn2+ ABC transporter periplasmic binding protein,znuA
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter membrane subunit,Zn2+ ABC transporter membrane subunit,znuB
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter ATP binding subunit,Zn2+ ABC transporter ATP binding subunit,znuC
Inorganic ion transport and metabolism,CPLX0-7641,Zn2+/Fe2+/Cd2+ exporter,Zn2+/Fe2+/Cd2+ exporter,fieF
Transcription,CPLX0-7678,DNA-binding transcriptional activator ZntR,DNA-binding transcriptional activator ZntR,zntR
Energy production and conversion,CPLX0-7955,acetate/glycolate:cation symporter,acetate/glycolate:cation symporter,actP
Aminio acid transport and metabolism,ACETOLACTSYNI-CPLX,acetohydroxy acid synthase I subunit IlvB,acetohydroxy acid synthase I subunit IlvB,ilvB
No Specific COG Annotation,ACETOLACTSYNI-CPLX,acetohydroxy acid synthase I subunit IlvN,acetohydroxy acid synthase I subunit IlvN,ilvN
Energy production and conversion,ACETOLACTSYNII-CPLX,acetolactate synthase II subunit IlvM,acetolactate synthase II subunit IlvM,ilvM
Aminio acid transport and metabolism,ACETOLACTSYNIII-CPLX,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit","acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",ilvH
Aminio acid transport and metabolism,ACETOLACTSYNIII-CPLX,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit","acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",ilvI
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,acetyl-CoA carboxyltransferase subunit α,acetyl-CoA carboxyltransferase subunit α,accA
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,biotin carboxylase,biotin carboxylase,accC
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,acetyl-CoA carboxyltransferase subunit β,acetyl-CoA carboxyltransferase subunit β,accD
Lipid transport and metabolism,ACETYL-COA-CARBOXYLTRANSFER-CPLX,acetyl-CoA carboxyltransferase subunit α,acetyl-CoA carboxyltransferase subunit α,accA
Lipid transport and metabolism,ACETYL-COA-CARBOXYLTRANSFER-CPLX,acetyl-CoA carboxyltransferase subunit β,acetyl-CoA carboxyltransferase subunit β,accD
Lipid transport and metabolism,CPLX0-8032,acetyl-CoA:oxalate CoA-transferase,acetyl-CoA:oxalate CoA-transferase,yfdE
Lipid transport and metabolism,CPLX0-8033,acetylesterase,acetylesterase,aes
Aminio acid transport and metabolism,ACETYLGLUTKIN-CPLX,acetylglutamate kinase,acetylglutamate kinase,argB
Aminio acid transport and metabolism,ACETYLORNDEACET-CPLX,acetylornithine deacetylase,acetylornithine deacetylase,argE
Inorganic ion transport and metabolism,APHA-CPLX,acid phosphatase / phosphotransferase,acid phosphatase / phosphotransferase,aphA
Energy production and conversion,CPLX0-7760,aconitate hydratase 1,aconitate hydratase 1,acnA
Energy production and conversion,CPLX0-8121,acrylyl-CoA reductase,acrylyl-CoA reductase,acuI
Energy production and conversion,PYRUVFORMLY-CPLX,pyruvate formate-lyase,pyruvate formate-lyase,pflB
Lipid transport and metabolism,THIOESTERII-CPLX,acyl-CoA thioesterase II,acyl-CoA thioesterase II,tesB
Cell wall/membrane/envelope biogenesis,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase,lpxA
Nucleotide transport and metabolism,CPLX0-1683,adenine deaminase,adenine deaminase,ade
Nucleotide transport and metabolism,ADENPRIBOSYLTRAN-CPLX,adenine phosphoribosyltransferase,adenine phosphoribosyltransferase,apt
Coenzyme transport and metabolism,DAPASYN-CPLX,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA
Nucleotide transport and metabolism,CPLX0-7959,adenine deaminase,adenine deaminase,ade
Nucleotide transport and metabolism,ADENYLOSUCCINATE-SYN-DIMER,adenylosuccinate synthetase,adenylosuccinate synthetase,purA
Inorganic ion transport and metabolism,ADENYLYLSULFKIN-CPLX,adenylyl-sulfate kinase,adenylyl-sulfate kinase,cysC
Lipid transport and metabolism,FAO-CPLX,3-ketoacyl-CoA thiolase,3-ketoacyl-CoA thiolase,fadA
Lipid transport and metabolism,FAO-CPLX,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase","dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",fadB
Energy production and conversion,AERGLYC3PDEHYDROG-CPLX,aerobic glycerol 3-phosphate dehydrogenase,aerobic glycerol 3-phosphate dehydrogenase,glpD
Aminio acid transport and metabolism,AGMATIN-CPLX,agmatinase,agmatinase,speB
Cell wall/membrane/envelope biogenesis,CPLX0-8202,alanine racemase 1,alanine racemase 1,alr
Cell wall/membrane/envelope biogenesis,CPLX0-7465,alanine racemase 2,alanine racemase 2,dadX
"Translation, ribosomal structure, and biogenesis",ALAS-CPLX,alanine-tRNA ligase/DNA-binding transcriptional repressor,alanine-tRNA ligase/DNA-binding transcriptional repressor,alaS
Energy production and conversion,ADHE-CPLX,aldehyde/alcohol dehydrogenase AdhE,aldehyde/alcohol dehydrogenase AdhE,adhE
Energy production and conversion,CPLX0-7805,"aldehyde dehydrogenase, Fe-S subunit","aldehyde dehydrogenase, Fe-S subunit",paoA
Energy production and conversion,CPLX0-7805,"aldehyde dehydrogenase, FAD-binding subunit","aldehyde dehydrogenase, FAD-binding subunit",paoB
Energy production and conversion,CPLX0-7805,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,paoC
Energy production and conversion,ALD-CPLX,aldehyde dehydrogenase A,aldehyde dehydrogenase A,aldA
Energy production and conversion,CPLX0-3482,aldehyde dehydrogenase B,aldehyde dehydrogenase B,aldB
Inorganic ion transport and metabolism,ABC-56-CPLX,aliphatic sulfonate ABC transporter periplasmic binding protein,aliphatic sulfonate ABC transporter periplasmic binding protein,ssuA
Inorganic ion transport and metabolism,ABC-56-CPLX,aliphatic sulfonate ABC transporter ATP binding subunit,aliphatic sulfonate ABC transporter ATP binding subunit,ssuB
Inorganic ion transport and metabolism,ALKAPHOSPHA-CPLX,alkaline phosphatase,alkaline phosphatase,phoA
Defense Mechanisms,CPLX0-245,"alkyl hydroperoxide reductase, AhpC component","alkyl hydroperoxide reductase, AhpC component",ahpC
Defense Mechanisms,CPLX0-245,"alkyl hydroperoxide reductase, AhpF component","alkyl hydroperoxide reductase, AhpF component",ahpF
Aminio acid transport and metabolism,CPLX-7524,allantoate amidohydrolase,allantoate amidohydrolase,allC
Nucleotide transport and metabolism,CPLX-64,allantoinase,allantoinase,allB
Carbohydrate transport and metabolism,RIB5PISOMB-CPLX,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,rpiB
Nucleotide transport and metabolism,PRPPAMIDOTRANS-CPLX,adenine deaminase,adenine deaminase,ade
Cell wall/membrane/envelope biogenesis,CPLX0-8251,amino acid racemase YgeA,amino acid racemase YgeA,ygeA
Aminio acid transport and metabolism,ADCLY-CPLX,aminodeoxychorismate lyase,aminodeoxychorismate lyase,pabC
Aminio acid transport and metabolism,CPLX0-3061,aminopeptidase A/I,aminopeptidase A/I,pepA
Aminio acid transport and metabolism,CPLX0-8122,aminopeptidase B,aminopeptidase B,pepB
Inorganic ion transport and metabolism,CPLX0-7532,ammonia/ammonium transporter,ammonia/ammonium transporter,amtB
Lipid transport and metabolism,CPLX0-1668,3-ketoacyl-CoA thiolase FadI,3-ketoacyl-CoA thiolase FadI,fadI
Lipid transport and metabolism,CPLX0-1668,3-hydroxyacyl-CoA dehydrogenase FadJ,3-hydroxyacyl-CoA dehydrogenase FadJ,fadJ
Energy production and conversion,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase subunit A,anaerobic glycerol-3-phosphate dehydrogenase subunit A,glpA
Energy production and conversion,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase subunit C,anaerobic glycerol-3-phosphate dehydrogenase subunit C,glpC
Aminio acid transport and metabolism,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase subunit B,anaerobic glycerol-3-phosphate dehydrogenase subunit B,glpB
Nucleotide transport and metabolism,NRDACTMULTI-CPLX,anaerobic ribonucleoside-triphosphate reductase,anaerobic ribonucleoside-triphosphate reductase,nrdD
General function prediction only,NRDACTMULTI-CPLX,anaerobic ribonucleoside-triphosphate reductase activating protein,anaerobic ribonucleoside-triphosphate reductase activating protein,nrdG
Nucleotide transport and metabolism,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,anaerobic ribonucleoside-triphosphate reductase,anaerobic ribonucleoside-triphosphate reductase,nrdD
General function prediction only,CPLX0-229,anaerobic ribonucleoside-triphosphate reductase activating protein,anaerobic ribonucleoside-triphosphate reductase activating protein,nrdG
Aminio acid transport and metabolism,ANTHRANSYN-CPLX,anthranilate synthase subunit TrpD,anthranilate synthase subunit TrpD,trpD
Aminio acid transport and metabolism,ANTHRANSYN-CPLX,anthranilate synthase subunit TrpE,anthranilate synthase subunit TrpE,trpE
Signal transduction mechanisms,CPLX0-7648,anti-sigma factor stabilizing protein RseB,anti-sigma factor stabilizing protein RseB,rseB
Defense Mechanisms,CPLX0-7929,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,yefM
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter periplasmic binding protein,arabinose ABC transporter periplasmic binding protein,araF
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter ATP binding subunit,arabinose ABC transporter ATP binding subunit,araG
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter membrane subunit,arabinose ABC transporter membrane subunit,araH
Aminio acid transport and metabolism,ARGDECARBOXBIO-CPLX,"arginine decarboxylase, biosynthetic","arginine decarboxylase, biosynthetic",speA
Aminio acid transport and metabolism,ARGDECARBOXDEG-CPLX,"arginine decarboxylase, degradative","arginine decarboxylase, degradative",adiA
Aminio acid transport and metabolism,CPLX0-7535,arginine:agmatine antiporter,arginine:agmatine antiporter,adiC
Aminio acid transport and metabolism,CPLX0-238,argininosuccinate synthetase,argininosuccinate synthetase,argG
Function unknown,CPLX0-4,aromatic carboxylic acid efflux pump subunit AaeB,aromatic carboxylic acid efflux pump subunit AaeB,aaeB
Defense Mechanisms,CPLX0-4,aromatic carboxylic acid efflux pump membrane fusion protein,aromatic carboxylic acid efflux pump membrane fusion protein,aaeA
Inorganic ion transport and metabolism,CPLX-7,arsenite/antimonite:H+ antiporter,arsenite/antimonite:H+ antiporter,arsB
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-236,arylamine N-acetyltransferase,arylamine N-acetyltransferase,nhoA
Aminio acid transport and metabolism,ASNSYNA-CPLX,asparagine synthetase A,asparagine synthetase A,asnA
Aminio acid transport and metabolism,ASNSYNB-CPLX,asparagine synthetase B,asparagine synthetase B,asnB
"Translation, ribosomal structure, and biogenesis",ASNS-CPLX,asparagine-tRNA ligase,asparagine-tRNA ligase,asnS
Coenzyme transport and metabolism,CPLX0-2901,"PanD β cleavage product // ""PanD α cleavage product"" // ""aspartate 1-decarboxylase proenzyme""","PanD β cleavage product // ""PanD α cleavage product"" // ""aspartate 1-decarboxylase proenzyme""",panD
Aminio acid transport and metabolism,ASPAMINOTRANS-DIMER,aspartate aminotransferase,aspartate aminotransferase,aspC
Aminio acid transport and metabolism,ASPARTASE-CPLX,aspartate ammonia-lyase,aspartate ammonia-lyase,aspA
Nucleotide transport and metabolism,ASPCARBTRANS-CPLX,aspartate carbamoyltransferase catalytic subunit,aspartate carbamoyltransferase catalytic subunit,pyrB
Nucleotide transport and metabolism,ASPCARBTRANS-CPLX,"aspartate carbamoyltransferase, PyrI subunit","aspartate carbamoyltransferase, PyrI subunit",pyrI
Nucleotide transport and metabolism,ASPCARBCAT-TRIMER,aspartate carbamoyltransferase catalytic subunit,aspartate carbamoyltransferase catalytic subunit,pyrB
Nucleotide transport and metabolism,ASPCARBREG-DIMER,"aspartate carbamoyltransferase, PyrI subunit","aspartate carbamoyltransferase, PyrI subunit",pyrI
Aminio acid transport and metabolism,ASPKINIII-CPLX,aspartate kinase III,aspartate kinase III,lysC
"Translation, ribosomal structure, and biogenesis",ASPS-CPLX,aspartate-tRNA ligase,aspartate-tRNA ligase,aspS
Aminio acid transport and metabolism,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,asd
Inorganic ion transport and metabolism,SULFITE-REDUCT-CPLX,"sulfite reductase, hemoprotein subunit","sulfite reductase, hemoprotein subunit",cysI
Inorganic ion transport and metabolism,SULFITE-REDUCT-CPLX,"sulfite reductase, flavoprotein subunit","sulfite reductase, flavoprotein subunit",cysJ
