cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein 34 ,bamC,Gram-negative-bacterium-type cell outer membrane assembly,GO:0043165,P0A903
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Lipoprotein 34 ,bamC,protein insertion into membrane,GO:0051205,P0A903
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,MltA-interacting protein ,mipA,peptidoglycan biosynthetic process,GO:0009252,P0A908
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,cellular response to DNA damage stimulus,GO:0006974,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,conjugation,GO:0000746,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,detection of virus,GO:0009597,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,ion transmembrane transport,GO:0034220,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,ion transport,GO:0006811,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein A ,ompA,viral entry into host cell,GO:0046718,P0A910
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Peptidoglycan-associated lipoprotein ,pal,cell cycle,GO:0007049,P0A912
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Peptidoglycan-associated lipoprotein ,pal,cell division,GO:0051301,P0A912
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein W ,ompW,transmembrane transport,GO:0055085,P0A915
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Phospholipase A1 ,pldA,lipid catabolic process,GO:0016042,P0A921
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Phospholipase A1 ,pldA,phosphatidylglycerol metabolic process,GO:0046471,P0A921
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Nucleoside-specific channel-forming protein tsx ,tsx,ion transport,GO:0006811,P0A927
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Nucleoside-specific channel-forming protein tsx ,tsx,nucleoside transport,GO:0015858,P0A927
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Nucleoside-specific channel-forming protein tsx ,tsx,viral entry into host cell,GO:0046718,P0A927
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase A ,mltA,cell wall organization,GO:0071555,P0A935
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase A ,mltA,peptidoglycan catabolic process,GO:0009253,P0A935
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase A ,mltA,peptidoglycan turnover,GO:0009254,P0A935
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Small protein A ,bamE,Gram-negative-bacterium-type cell outer membrane assembly,GO:0043165,P0A937
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Small protein A ,bamE,protein insertion into membrane,GO:0051205,P0A937
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Small protein A ,bamE,response to antibiotic,GO:0046677,P0A937
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein assembly factor yaeT ,bamA,cell adhesion,GO:0007155,P0A940
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein assembly factor yaeT ,bamA,Gram-negative-bacterium-type cell outer membrane assembly,GO:0043165,P0A940
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Outer membrane protein assembly factor yaeT ,bamA,protein insertion into membrane,GO:0051205,P0A940
Poorly Characterized,General function prediction only,General function prediction only,Ribosomal-protein-alanine acetyltransferase ,rimI,cellular protein modification process,GO:0006464,P0A944
Poorly Characterized,General function prediction only,General function prediction only,Ribosomal-protein-alanine acetyltransferase ,rimI,internal peptidyl-lysine acetylation,GO:0018393,P0A944
Poorly Characterized,General function prediction only,General function prediction only,Ribosomal-protein-alanine acetyltransferase ,rimI,N-terminal peptidyl-alanine acetylation,GO:0017189,P0A944
Poorly Characterized,General function prediction only,General function prediction only,Ribosomal-protein-alanine acetyltransferase ,rimI,N-terminal protein amino acid acetylation,GO:0006474,P0A944
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Spermidine N(1)-acetyltransferase ,speG,polyamine catabolic process,GO:0006598,P0A951
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Spermidine N(1)-acetyltransferase ,speG,protein homotetramerization,GO:0051289,P0A951
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-oxoacyl-[acyl-carrier-protein] synthase 1 ,fabB,fatty acid biosynthetic process,GO:0006633,P0A953
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-oxoacyl-[acyl-carrier-protein] synthase 1 ,fabB,lipid biosynthetic process,GO:0008610,P0A953
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,KHG/KDPG aldolase ,eda,metabolic process,GO:0008152,P0A955
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfbQ ,alaA,alanine biosynthetic process,GO:0006523,P0A959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfbQ ,alaA,cellular response to DNA damage stimulus,GO:0006974,P0A959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfbQ ,alaA,D-alanine biosynthetic process,GO:0030632,P0A959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfbQ ,alaA,L-alanine biosynthetic process from pyruvate,GO:0019272,P0A959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized aminotransferase YfbQ ,alaA,response to antibiotic,GO:0046677,P0A959
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-asparaginase 1 ,ansA,asparagine catabolic process via L-aspartate,GO:0033345,P0A962
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,aerotaxis,GO:0009454,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,chemotaxis,GO:0006935,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,establishment of localization in cell,GO:0051649,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,positive regulation of post-translational protein modification,GO:1901875,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,positive regulation of protein histidine kinase activity,GO:0010864,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,signal transduction,GO:0007165,P0A964
Cellular Processes and Signaling,Cell motility,Cell motility,Chemotaxis protein CheW ,cheW,signal transduction by protein phosphorylation,GO:0023014,P0A964
Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspD ,cspD,negative regulation of DNA replication,GO:0008156,P0A968
Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspD ,cspD,pathogenesis,GO:0009405,P0A968
Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspD ,cspD,"regulation of transcription, DNA-templated",GO:0006355,P0A968
Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspD ,cspD,response to starvation,GO:0042594,P0A968
Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspE ,cspE,"negative regulation of DNA-templated transcription, termination",GO:0060567,P0A972
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit beta ,dnaN,cellular response to DNA damage stimulus,GO:0006974,P0A988
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA polymerase III subunit beta ,dnaN,DNA strand elongation involved in DNA replication,GO:0006271,P0A988
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Fructose-bisphosphate aldolase class 1 ,fbaB,glycolytic process,GO:0006096,P0A991
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,"fructose 1,6-bisphosphate metabolic process",GO:0030388,P0A993
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,fructose 6-phosphate metabolic process,GO:0006002,P0A993
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,fructose metabolic process,GO:0006000,P0A993
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,gluconeogenesis,GO:0006094,P0A993
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,protein homotetramerization,GO:0051289,P0A993
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,"Fructose-1,6-bisphosphatase class 1 ",fbp,sucrose biosynthetic process,GO:0005986,P0A993
Metabolism,Energy production and conversion,Energy production and conversion,Anaerobic glycerol-3-phosphate dehydrogenase subunit C ,glpC,anaerobic respiration,GO:0009061,P0A996
Metabolism,Energy production and conversion,Energy production and conversion,Anaerobic glycerol-3-phosphate dehydrogenase subunit C ,glpC,electron transport chain,GO:0022900,P0A996
Metabolism,Energy production and conversion,Energy production and conversion,Anaerobic glycerol-3-phosphate dehydrogenase subunit C ,glpC,glycerol catabolic process,GO:0019563,P0A996
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,cellular response to DNA damage stimulus,GO:0006974,P0A998
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,cellular response to iron ion,GO:0071281,P0A998
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,intracellular sequestering of iron ion,GO:0006880,P0A998
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,iron ion transport,GO:0006826,P0A998
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Ferritin-1 ,ftnA,response to oxidative stress,GO:0006979,P0A998
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ftsZ ,ftsZ,cell division,GO:0051301,P0A9A6
Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Cell division protein ftsZ ,ftsZ,division septum assembly,GO:0000917,P0A9A6
