cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Protein tas ,tas,P0A9T4
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized HTH-type transcriptional regulator ybaQ ,ybaQ,P0A9T6
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Uncharacterized ABC transporter ATP-binding protein YbbA ,ybbA,P0A9T8
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized ABC transporter ATP-binding protein YbiT ,ybiT,P0A9U3
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator puuR ,puuR,P0A9U6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Lipopolysaccharide export system ATP-binding protein LptB ,lptB,P0A9V1
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator ulaR ,ulaR,P0A9W0
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized ABC transporter ATP-binding protein YjjK ,yjjK,P0A9W3
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized protein YrbA ,yrbA,P0A9W6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein YrdA ,yrdA,P0A9W9
None,No known associated cofactor,Cellular Processes and Signaling,"Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning",Rod shape-determining protein mreB ,mreB,P0A9X4
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Cold shock protein CspA ,cspA,P0A9X9
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Cold shock-like protein CspC ,cspC,P0A9Y6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Nitrogen regulatory protein P-II 1 ,glnB,P0A9Z1
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Phosphocarrier protein HPr ,ptsH,P0AA04
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L13 ,rplM,P0AA10
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Transcriptional regulatory protein ompR ,ompR,P0AA16
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thioredoxin-1 ,trxA,P0AA25
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",UPF0033 protein yedF ,yedF,P0AA31
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal large subunit pseudouridine synthase C ,rluC,P0AA39
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal small subunit pseudouridine synthase A ,rsuA,P0AA43
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protein QmcA ,qmcA,P0AA53
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Protein YobA ,yobA,P0AA57
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Inner membrane protein YqjA ,yqjA,P0AA63
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Cytosine permease ,codB,P0AA82
heme,Binds 1 heme group per subunit. The Fe(2+) state binds O(2) and CO while the Fe(3+) state can bind CN(-) and imidazol,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Diguanylate cyclase DosC ,dosC,P0AA89
Mg(2+),Binds 1 Mg(2+) ion per subunit,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Diguanylate cyclase DosC ,dosC,P0AA89
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized lipoprotein yeaY ,yeaY,P0AA91
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yaeQ ,yaeQ,P0AA97
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,"Putative L,D-transpeptidase YafK ",yafK,P0AA99
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Inner membrane protein yagU ,yagU,P0AAA1
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Zinc resistance-associated protein ,zraP,P0AAA9
prenyl-FMN,Binds 1 prenylated FMN (prenyl-FMN) per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,3-octaprenyl-4-hydroxybenzoate carboxy-lyase ,ubiD,P0AAB4
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UTP--glucose-1-phosphate uridylyltransferase ,galF,P0AAB6
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Universal stress protein D ,uspD,P0AAB8
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Universal stress protein E ,uspE,P0AAC0
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Inner membrane protein YbhL ,ybhL,P0AAC4
Fe cation,Binds 2 iron ions per dimer. The dimer may bind additional iron ion,Poorly Characterized,Function unknown,Function unknown,Iron-binding protein iscA ,iscA,P0AAC8
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Serine transporter ,sdaC,P0AAD6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,D-serine/D-alanine/glycine transporter ,cycA,P0AAE0
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Arginine transport ATP-binding protein ArtP ,artP,P0AAF6
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Dipeptide transport ATP-binding protein DppD ,dppD,P0AAG0
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glutamate/aspartate transport ATP-binding protein GltL ,gltL,P0AAG3
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Galactose/methyl galactoside import ATP-binding protein MglA ,mglA,P0AAG8
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Phosphate import ATP-binding protein PstB ,pstB,P0AAH0
Zn(2+),Binds 1 zinc ion per subuni,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",ATP-dependent zinc metalloprotease FtsH ,ftsH,P0AAI3
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,3-oxoacyl-[acyl-carrier-protein] synthase 2 ,fabF,P0AAI5
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Malonyl CoA-acyl carrier protein transacylase ,fabD,P0AAI9
[4Fe-4S] cluster,Binds 4 [4Fe-4S] clusters per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Formate dehydrogenase-O iron-sulfur subunit ,fdoH,P0AAJ5
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Hydrogenase isoenzymes nickel incorporation protein hypB ,hypB,P0AAN3
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yaiA ,yaiA,P0AAN5
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Anti-adapter protein iraP ,iraP,P0AAN9
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Transcriptional repressor frmR ,frmR,P0AAP3
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yajD ,yajD,P0AAQ2
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK ,ybaK,P0AAR3
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Inner membrane protein ylaC ,ylaC,P0AAS0
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ybcJ ,ybcJ,P0AAS7
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ybdD ,ybdD,P0AAS9
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein ybeB ,rsfS,P0AAT6
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ybeL ,ybeL,P0AAT9
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized protein ybgJ ,ybgJ,P0AAV4
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ybgS ,ybgS,P0AAV6
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein ybhP ,ybhP,P0AAW1
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein YbiJ ,ybiJ,P0AAX3
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,"Probable L,D-transpeptidase YbiS ",ybiS,P0AAX8
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ybjN ,ybjN,P0AAY6
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Replication-associated recombination protein A ,rarA,P0AAZ4
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0434 protein ycaR ,ycaR,P0AAZ7
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized lipoprotein ymbA ,ymbA,P0AB10
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Inner membrane protein yccF ,yccF,P0AB12
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yccJ ,yccJ,P0AB14
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,UPF0409 protein ycdO ,efeO,P0AB24
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized lipoprotein yceB ,yceB,P0AB26
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized protein yceD ,yceD,P0AB28
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Penicillin-binding protein activator LpoB ,lpoB,P0AB38
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Multiple stress resistance protein BhsA ,bhsA,P0AB40
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,UPF0745 protein YcgL ,ycgL,P0AB43
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein ychH ,ychH,P0AB49
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Protein ychN ,ychN,P0AB52
