cog,complex,complex_annotation,func,protein,subunits
Signal transduction mechanisms,TSR-GLN,Tsrgln,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TSR-GLN,Tsrgln,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TSR-GLN,Tsrgln,methyl-accepting chemotaxis protein Tsr,Tsr,12.0
Signal transduction mechanisms,TSR-GLUME,Tsrglu-Me,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TSR-GLUME,Tsrglu-Me,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TSR-GLUME,Tsrglu-Me,methyl-accepting chemotaxis protein Tsr,Tsr,12.0
Signal transduction mechanisms,TSR-GLU,Tsrglu,"chemotaxis protein CheA // ""chemotaxis protein CheA(S)""",CheA,2.0
Signal transduction mechanisms,TSR-GLU,Tsrglu,chemotaxis protein CheW,CheW,2.0
Signal transduction mechanisms,TSR-GLU,Tsrglu,methyl-accepting chemotaxis protein Tsr,Tsr,12.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system,Type II secretion system protein GspC,GspC,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system,Type II secretion system protein GspD,GspD,1.0
"Intracellular trafficking, secretion, and vesicular transport",CPLX0-3382,Type II secretion system,Type II secretion system protein GspH,Gsph,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-8016,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,LpxD,3.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7718,UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,ArnA,6.0
Cell wall/membrane/envelope biogenesis,CPLX0-8013,UDP-N-acetyl-D-mannosamine dehydrogenase,UDP-N-acetyl-D-mannosamine dehydrogenase,WecC,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8008,UDP-N-acetylglucosamine 2-epimerase,UDP-N-acetylglucosamine 2-epimerase,WecB,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8011,UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,WecA,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8014,UDP-N-acetylmuramate-L-alanine ligase,UDP-N-acetylmuramate-L-alanine ligase,MurC,2.0
Cell wall/membrane/envelope biogenesis,UDPGLUCEPIM-CPLX,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,GalE,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8098,UDP-glucose 6-dehydrogenase,UDP-glucose 6-dehydrogenase,Ugd,2.0
Nucleotide transport and metabolism,UMPKI-CPLX,UMP kinase,UMP kinase,PyrH,6.0
Cell wall/membrane/envelope biogenesis,CPLX0-8205,UTP-glucose-1-phosphate uridylyltransferase,UTP-glucose-1-phosphate uridylyltransferase,GalU,4.0
Energy production and conversion,CPLX0-8301,Ubi complex,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,UbiF,1.0
Energy production and conversion,CPLX0-8301,Ubi complex,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,UbiH,1.0
Energy production and conversion,CPLX0-8301,Ubi complex,2-octaprenylphenol 6-hydroxylase,UbiI,1.0
Coenzyme transport and metabolism,CPLX0-8301,Ubi complex,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase",UbiE,1.0
Coenzyme transport and metabolism,CPLX0-8301,Ubi complex,bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,UbiG,1.0
Coenzyme transport and metabolism,CPLX0-8301,Ubi complex,ubiquinone biosynthesis accessory factor UbiJ,YigP,1.0
Function unknown,CPLX0-8301,Ubi complex,ubiquinone biosynthesis accessory factor UbiK,YqiC,1.0
Transcription,CPLX0-7754,UhpA-Phosphorylated DNA-binding transcriptional activator,"UhpA-Phosphorylated // ""DNA-binding transcriptional activator UhpA""",UhpA,2.0
Nucleotide transport and metabolism,CPLX0-3948,XTPase,ITPase/XTPase,YjjX,2.0
Aminio acid transport and metabolism,CPLX0-3081,Xaa-Pro aminopeptidase,Xaa-Pro aminopeptidase,PepP,4.0
Aminio acid transport and metabolism,CPLX0-8156,Xaa-Pro dipeptidase,Xaa-Pro dipeptidase,PepQ,2.0
"Replication, recombination, and repair",CPLX0-3959,Xer site-specific recombination system,site-specific tyrosine recombinase,XerC,1.0
"Replication, recombination, and repair",CPLX0-3959,Xer site-specific recombination system,site-specific recombinase,XerD,1.0
Defense Mechanisms,CPLX0-3781,YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,YefM,2.0
Defense Mechanisms,CPLX0-3781,YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor,ribosome-dependent mRNA interferase toxin YoeB,YoeB,1.0
Transcription,CPLX0-7624,YhaV-PrlF toxin-antitoxin complex,antitoxin PrlF,PrlF,2.0
Function unknown,CPLX0-7624,YhaV-PrlF toxin-antitoxin complex,ribosome-dependent mRNA interferase toxin YhaV,YhaV,4.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-8188,Z-ring inhibitor complex MinCD,Z-ring positioning protein MinC,MinC,2.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-8196,Z-ring positioning protein MinC,Z-ring positioning protein MinC,MinC,2.0
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter,Zn2+ ABC transporter periplasmic binding protein,ZnuA,1.0
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter,Zn2+ ABC transporter membrane subunit,ZnuB,2.0
Inorganic ion transport and metabolism,ABC-63-CPLX,Zn2+ ABC transporter,Zn2+ ABC transporter ATP binding subunit,ZnuC,2.0
Inorganic ion transport and metabolism,CPLX0-7641,Zn2+/Fe2+/Cd2+ exporter,Zn2+/Fe2+/Cd2+ exporter,FieF,2.0
Transcription,CPLX0-7678,ZntR-Zn2+ DNA-binding transcriptional activator,DNA-binding transcriptional activator ZntR,ZntR,2.0
Energy production and conversion,CPLX0-7955,acetate/glycolate:cation symporter,acetate/glycolate:cation symporter,ActP,2.0
Aminio acid transport and metabolism,ACETOLACTSYNI-CPLX,acetohydroxybutanoate synthase,acetohydroxy acid synthase I subunit IlvB,IlvB,2.0
Function unknown,ACETOLACTSYNI-CPLX,acetohydroxybutanoate synthase,acetohydroxy acid synthase I subunit IlvN,IlvN,2.0
Energy production and conversion,ACETOLACTSYNII-CPLX,acetohydroxybutanoate synthase,acetolactate synthase II subunit IlvM,IlvM,1.0
Aminio acid transport and metabolism,ACETOLACTSYNIII-CPLX,acetolactate synthase,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",IlvH,2.0
Aminio acid transport and metabolism,ACETOLACTSYNIII-CPLX,acetolactate synthase,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",IlvI,2.0
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,acetyl-CoA carboxylase complex,acetyl-CoA carboxyltransferase subunit α,AccA,2.0
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,acetyl-CoA carboxylase complex,biotin carboxylase,AccC,2.0
Lipid transport and metabolism,ACETYL-COA-CARBOXYLMULTI-CPLX,acetyl-CoA carboxylase complex,acetyl-CoA carboxyltransferase subunit β,AccD,2.0
Lipid transport and metabolism,ACETYL-COA-CARBOXYLTRANSFER-CPLX,acetyl-CoA carboxyltransferase,acetyl-CoA carboxyltransferase subunit α,AccA,2.0
Lipid transport and metabolism,ACETYL-COA-CARBOXYLTRANSFER-CPLX,acetyl-CoA carboxyltransferase,acetyl-CoA carboxyltransferase subunit β,AccD,2.0
Lipid transport and metabolism,CPLX0-8032,acetyl-CoA:oxalate CoA-transferase,acetyl-CoA:oxalate CoA-transferase,YfdE,2.0
Lipid transport and metabolism,CPLX0-8033,acetylesterase,acetylesterase,Aes,2.0
Aminio acid transport and metabolism,ACETYLGLUTKIN-CPLX,acetylglutamate kinase,acetylglutamate kinase,ArgB,2.0
Aminio acid transport and metabolism,ACETYLORNDEACET-CPLX,acetylornithine deacetylase,acetylornithine deacetylase,ArgE,2.0
Inorganic ion transport and metabolism,APHA-CPLX,acid phosphatase / phosphotransferase,acid phosphatase / phosphotransferase,AphA,4.0
Energy production and conversion,CPLX0-7760,aconitate hydratase A,aconitate hydratase 1,AcnA,2.0
Energy production and conversion,CPLX0-8121,acrylyl-CoA reductase,acrylyl-CoA reductase,AcuI,2.0
Energy production and conversion,PYRUVFORMLY-CPLX,activated pyruvate-formate lyase,pyruvate formate-lyase,PflB,2.0
Lipid transport and metabolism,THIOESTERII-CPLX,acyl-CoA thioesterase II,acyl-CoA thioesterase II,TesB,4.0
Cell wall/membrane/envelope biogenesis,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase,LpxA,3.0
Nucleotide transport and metabolism,CPLX0-1683,adenine deaminase,adenine deaminase,Ade,2.0
Nucleotide transport and metabolism,ADENPRIBOSYLTRAN-CPLX,adenine phosphoribosyltransferase,adenine phosphoribosyltransferase,Apt,2.0
Coenzyme transport and metabolism,DAPASYN-CPLX,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,BioA,2.0
Nucleotide transport and metabolism,CPLX0-7959,adenylosuccinate lyase,adenine deaminase,Ade,4.0
Nucleotide transport and metabolism,ADENYLOSUCCINATE-SYN-DIMER,adenylosuccinate synthetase,adenylosuccinate synthetase,PurA,2.0
Inorganic ion transport and metabolism,ADENYLYLSULFKIN-CPLX,adenylyl-sulfate kinase,adenylyl-sulfate kinase,CysC,2.0
Lipid transport and metabolism,FAO-CPLX,aerobic fatty acid oxidation complex,3-ketoacyl-CoA thiolase,FadA,2.0
Lipid transport and metabolism,FAO-CPLX,aerobic fatty acid oxidation complex,"dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",FadB,2.0
Energy production and conversion,AERGLYC3PDEHYDROG-CPLX,aerobic glycerol 3-phosphate dehydrogenase,aerobic glycerol 3-phosphate dehydrogenase,GlpD,2.0
Aminio acid transport and metabolism,AGMATIN-CPLX,agmatinase,agmatinase,SpeB,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-8202,alanine racemase 1,alanine racemase 1,Alr,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-7465,alanine racemase 2,alanine racemase 2,DadX,2.0
"Translation, ribosomal structure, and biogenesis",ALAS-CPLX,alanine-tRNA ligase/DNA-binding transcriptional repressor,alanine-tRNA ligase/DNA-binding transcriptional repressor,AlaS,2.0
Energy production and conversion,ADHE-CPLX,alcohol dehydrogenase/aldehyde-dehydrogenase,aldehyde/alcohol dehydrogenase AdhE,AdhE,40.0
Energy production and conversion,CPLX0-7805,aldehyde dehydrogenase,"aldehyde dehydrogenase, Fe-S subunit",PaoA,1.0
Energy production and conversion,CPLX0-7805,aldehyde dehydrogenase,"aldehyde dehydrogenase, FAD-binding subunit",PaoB,1.0
Energy production and conversion,CPLX0-7805,aldehyde dehydrogenase,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,PaoC,1.0
Energy production and conversion,ALD-CPLX,"aldehyde dehydrogenase A, NAD-linked",aldehyde dehydrogenase A,AldA,4.0
Energy production and conversion,CPLX0-3482,aldehyde dehydrogenase B,aldehyde dehydrogenase B,AldB,4.0
Inorganic ion transport and metabolism,ABC-56-CPLX,aliphatic sulfonate ABC transporter,aliphatic sulfonate ABC transporter periplasmic binding protein,SsuA,1.0
Inorganic ion transport and metabolism,ABC-56-CPLX,aliphatic sulfonate ABC transporter,aliphatic sulfonate ABC transporter ATP binding subunit,SsuB,2.0
Inorganic ion transport and metabolism,ALKAPHOSPHA-CPLX,alkaline phosphatase,alkaline phosphatase,PhoA,2.0
Defense Mechanisms,CPLX0-245,alkyl hydroperoxide reductase,"alkyl hydroperoxide reductase, AhpC component",AhpC,10.0
Defense Mechanisms,CPLX0-245,alkyl hydroperoxide reductase,"alkyl hydroperoxide reductase, AhpF component",AhpF,2.0
Aminio acid transport and metabolism,CPLX-7524,allantoate amidohydrolase,allantoate amidohydrolase,AllC,2.0
Nucleotide transport and metabolism,CPLX-64,allantoinase,allantoinase,AllB,4.0
Carbohydrate transport and metabolism,RIB5PISOMB-CPLX,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,RpiB,2.0
Nucleotide transport and metabolism,PRPPAMIDOTRANS-CPLX,amidophosphoribosyltransferase,adenine deaminase,Ade,4.0
Cell wall/membrane/envelope biogenesis,CPLX0-8251,amino acid racemase YgeA,amino acid racemase YgeA,YgeA,2.0
Aminio acid transport and metabolism,ADCLY-CPLX,aminodeoxychorismate lyase,aminodeoxychorismate lyase,PabC,2.0
Aminio acid transport and metabolism,CPLX0-3061,aminopeptidase A/I and DNA-binding transcriptional repressor,aminopeptidase A/I,PepA,6.0
Aminio acid transport and metabolism,CPLX0-8122,aminopeptidase B,aminopeptidase B,PepB,6.0
Inorganic ion transport and metabolism,CPLX0-7532,ammonia / ammonium transporter,ammonia/ammonium transporter,AmtB,3.0
Lipid transport and metabolism,CPLX0-1668,anaerobic fatty acid β-oxidation complex,3-ketoacyl-CoA thiolase FadI,FadI,1.0
Lipid transport and metabolism,CPLX0-1668,anaerobic fatty acid β-oxidation complex,3-hydroxyacyl-CoA dehydrogenase FadJ,FadJ,1.0
Energy production and conversion,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase,anaerobic glycerol-3-phosphate dehydrogenase subunit A,GlpA,1.0
Energy production and conversion,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase,anaerobic glycerol-3-phosphate dehydrogenase subunit C,GlpC,1.0
Aminio acid transport and metabolism,ANGLYC3PDEHYDROG-CPLX,anaerobic glycerol-3-phosphate dehydrogenase,anaerobic glycerol-3-phosphate dehydrogenase subunit B,GlpB,1.0
Nucleotide transport and metabolism,NRDACTMULTI-CPLX,anaerobic nucleoside-triphosphate reductase activating system,anaerobic ribonucleoside-triphosphate reductase,NrdD,2.0
General function prediction only,NRDACTMULTI-CPLX,anaerobic nucleoside-triphosphate reductase activating system,anaerobic ribonucleoside-triphosphate reductase activating protein,NrdG,2.0
Nucleotide transport and metabolism,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,anaerobic ribonucleoside-triphosphate reductase,anaerobic ribonucleoside-triphosphate reductase,NrdD,2.0
General function prediction only,CPLX0-229,anaerobic ribonucleoside-triphosphate reductase activating protein,anaerobic ribonucleoside-triphosphate reductase activating protein,NrdG,2.0
Aminio acid transport and metabolism,ANTHRANSYN-CPLX,anthranilate synthase,anthranilate synthase subunit TrpD,TrpD,2.0
Aminio acid transport and metabolism,ANTHRANSYN-CPLX,anthranilate synthase,anthranilate synthase subunit TrpE,TrpE,2.0
Signal transduction mechanisms,CPLX0-7648,anti-sigma factor stabilizing protein RseB,anti-sigma factor stabilizing protein RseB,RseB,2.0
Defense Mechanisms,CPLX0-7929,antitoxin/DNA-binding transcriptional repressor YefM,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,YefM,2.0
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter,arabinose ABC transporter periplasmic binding protein,AraF,1.0
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter,arabinose ABC transporter ATP binding subunit,AraG,2.0
Carbohydrate transport and metabolism,ABC-2-CPLX,arabinose ABC transporter,arabinose ABC transporter membrane subunit,AraH,2.0
Aminio acid transport and metabolism,ARGDECARBOXBIO-CPLX,"arginine decarboxylase, biosynthetic","arginine decarboxylase, biosynthetic",SpeA,4.0
Aminio acid transport and metabolism,ARGDECARBOXDEG-CPLX,"arginine decarboxylase, degradative","arginine decarboxylase, degradative",AdiA,10.0
Aminio acid transport and metabolism,CPLX0-7535,arginine:agmatine antiporter,arginine:agmatine antiporter,AdiC,2.0
Aminio acid transport and metabolism,CPLX0-238,argininosuccinate synthetase,argininosuccinate synthetase,ArgG,4.0
Function unknown,CPLX0-4,aromatic carboxylic acid efflux pump,aromatic carboxylic acid efflux pump subunit AaeB,AaeB,1.0
Defense Mechanisms,CPLX0-4,aromatic carboxylic acid efflux pump,aromatic carboxylic acid efflux pump membrane fusion protein,AaeA,1.0
Inorganic ion transport and metabolism,CPLX-7,arsenite/antimonite:H+ antiporter,arsenite/antimonite:H+ antiporter,ArsB,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",CPLX0-236,arylamine N-acetyltransferase,arylamine N-acetyltransferase,NhoA,2.0
Aminio acid transport and metabolism,ASNSYNA-CPLX,asparagine synthetase A,asparagine synthetase A,AsnA,2.0
Aminio acid transport and metabolism,ASNSYNB-CPLX,asparagine synthetase B,asparagine synthetase B,AsnB,2.0
"Translation, ribosomal structure, and biogenesis",ASNS-CPLX,asparagine-tRNA ligase,asparagine-tRNA ligase,AsnS,2.0
Coenzyme transport and metabolism,CPLX0-2901,aspartate 1-decarboxylase,"PanD β cleavage product // ""PanD α cleavage product"" // ""aspartate 1-decarboxylase proenzyme""",PanD,4.0
Aminio acid transport and metabolism,ASPAMINOTRANS-DIMER,aspartate aminotransferase,aspartate aminotransferase,AspC,2.0
Aminio acid transport and metabolism,ASPARTASE-CPLX,aspartate ammonia-lyase,aspartate ammonia-lyase,AspA,4.0
Nucleotide transport and metabolism,ASPCARBTRANS-CPLX,aspartate carbamoyltransferase,aspartate carbamoyltransferase catalytic subunit,PyrB,6.0
Nucleotide transport and metabolism,ASPCARBTRANS-CPLX,aspartate carbamoyltransferase,"aspartate carbamoyltransferase, PyrI subunit",PyrI,6.0
Nucleotide transport and metabolism,ASPCARBCAT-TRIMER,aspartate carbamoyltransferase catalytic subunit,aspartate carbamoyltransferase catalytic subunit,PyrB,3.0
Nucleotide transport and metabolism,ASPCARBREG-DIMER,"aspartate carbamoyltransferase, regulatory subunit","aspartate carbamoyltransferase, PyrI subunit",PyrI,2.0
Aminio acid transport and metabolism,ASPKINIII-CPLX,aspartate kinase III,aspartate kinase III,LysC,2.0
"Translation, ribosomal structure, and biogenesis",ASPS-CPLX,aspartate-tRNA ligase,aspartate-tRNA ligase,AspS,2.0
Aminio acid transport and metabolism,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,aspartate-semialdehyde dehydrogenase,aspartate-semialdehyde dehydrogenase,Asd,2.0
Inorganic ion transport and metabolism,SULFITE-REDUCT-CPLX,assimilatory sulfite reductase (NADPH),"sulfite reductase, hemoprotein subunit",CysI,4.0
Inorganic ion transport and metabolism,SULFITE-REDUCT-CPLX,assimilatory sulfite reductase (NADPH),"sulfite reductase, flavoprotein subunit",CysJ,8.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-2561,bacterial condensin MukBEF,chromosome partitioning protein MukB,MukB,2.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-2561,bacterial condensin MukBEF,chromosome partitioning protein MukE,MukE,4.0
"Cell cycle control, cell division, chromosome partitioning",CPLX0-2561,bacterial condensin MukBEF,chromosome partitioning protein MukF,MukF,2.0
Inorganic ion transport and metabolism,CPLX0-1421,bacterioferritin,bacterioferritin,Bfr,24.0
Energy production and conversion,BADH-CPLX,betaine aldehyde dehydrogenase,betaine aldehyde dehydrogenase,BetB,4.0
Coenzyme transport and metabolism,FOLD-CPLX,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase","bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",FolD,2.0
