"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"yigL"	"b3826"	4010200	4011000	"phosphosugar phosphatase YigL"	"Chromosome Region 82, 3999699->4049077" // "yigL" // "pldB"	"dephosphorylation" // "response to stress"	"cytosol"	"hydrolase activity" // "metal ion binding" // "phosphatase activity" // "magnesium ion binding" // "pyridoxal phosphatase activity" // "sugar-phosphatase activity"
"yqfE"	"b2915"	3059381	3059611	"putative protein YqfE"	"Chromosome Region 62, 3012119->3061497" // "yqfE"	""	"cytosol"	""
"agaA"	"b3135"	3281122	3281625	"putative truncated N-acetylgalactosamine-6-phosphate deacetylase"	"Chromosome Region 67, 3259014->3308392" // "kbaZ-agaVWA"	""	"cytosol"	""
"lsrC"	"b1514"	1603019	1604047	"Autoinducer-2 ABC transporter membrane subunit LsrC"	"Chromosome Region 33, 1580128->1629506" // "lsrACDBFG-tam"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"yaaA"	"b0006"	5683	6459	"peroxide stress resistance protein YaaA"	"Chromosome Region 1, 0->49378" // "yaaA"	"response to hydroperoxide"	"cytosol"	""
"lfhA"	"b0229"	248358	250070	"flagellar system protein, promoterless fragment"	"Chromosome Region 6, 246895->296273" // "lfhA"	""	""	""
"yncI"	"b1459"	1530586	1531639	"putative transposase YncI"	"Chromosome Region 32, 1530749->1580127" // "Chromosome Region 31, 1481370->1530748" // "yncI"	""	"cytosol"	""
"emrE"	"b0543"	568315	568647	"multidrug/betaine/choline efflux transporter EmrE"	"Chromosome Region 12, 543169->592547" // "emrE"	"transmembrane transport" // "xenobiotic metabolic process" // "xenobiotic detoxification by transmembrane export across the plasma membrane" // "xenobiotic transport" // "choline transport" // "response to osmotic stress" // "glycine betaine transport" // "cellular response to DNA damage stimulus" // "response to drug"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"solute:proton antiporter activity" // "transmembrane transporter activity" // "xenobiotic transmembrane transporter activity" // "identical protein binding" // "choline transmembrane transporter activity" // "amino-acid betaine transmembrane transporter activity" // "antiporter activity"
"yggX"	"b2962"	3104093	3104368	"putative Fe<sup>2+</sup>-trafficking protein"	"Chromosome Region 63, 3061498->3110876" // "mutY-yggX-mltC" // "mutY-yggX" // "yggX-mltC" // "yggX" // "mutY-yggX-mltC" // "mutY-yggX" // "yggX-mltC-nupG" // "mutY-yggX-mltC-nupG" // "mutY-yggX-mltC-nupG"	"cellular response to oxidative stress"	"cytosol"	"iron ion binding"
"ykfK"	"b4628"	266776	266967		"Chromosome Region 6, 246895->296273"	""	""	""
"yibU"	"b4652"	3769948	3770146		"Chromosome Region 77, 3752804->3802182"	""	""	""
"lolC"	"b1116"	1175427	1176626	"lipoprotein release complex - inner membrane subunit"	"Chromosome Region 24, 1135717->1185095" // "lolE" // "lolD" // "lolC"	"protein localization to outer membrane" // "lipoprotein transport" // "lipoprotein localization to outer membrane"	"outer membrane-bounded periplasmic space" // "plasma membrane protein complex" // "integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"lipoprotein releasing activity" // "protein binding"
"ortT"	"b1445"	1517389	1517562	"orphan toxin OrtT"	"Chromosome Region 31, 1481370->1530748" // "ortT"	"autolysis"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"ygeK"	"b2855"	2994460	2994903	"putative DNA-binding transcriptional regulator YgeK"	"Chromosome Region 61, 2962740->3012118" // "ygeL" // "ygeK"	"transcription, DNA-templated"	"cytosol"	""
"eaeH"	"b0297"	314357	315244	"putative porin domain-containing protein EaeH"	"Chromosome Region 7, 296274->345652" // "insF-1" // "insE-1" // "insEF-1" // "eaeH"	""	""	""
"ybjG"	"b0841"	882792	883388	"undecaprenyl pyrophosphate phosphatase"	"Chromosome Region 18, 839443->888821" // "ybjG"	"cell wall organization" // "response to antibiotic" // "regulation of cell shape" // "peptidoglycan biosynthetic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"hydrolase activity" // "undecaprenyl-diphosphatase activity"
"ydeI"	"b1536"	1624105	1624497	"BOF family protein YdeI"	"Chromosome Region 33, 1580128->1629506" // "ydeI" // "ydeIp5" // "ydeI" // "ydeI"	"single-species biofilm formation on inanimate substrate" // "cellular response to hydrogen peroxide"	"outer membrane-bounded periplasmic space"	""
"oweE"	"b4692"	1204170	1204403	"phage replication protein"	"Chromosome Region 25, 1185096->1234474"	""	""	""
"insZ"	"b4573"	1294426	1295322	"putative transposase InsZ"	"Chromosome Region 27, 1283854->1333232" // "insZ"	""	""	""
"ybbW"	"b0511"	537633	539087	"putative allantoin transporter"	"Chromosome Region 11, 493790->543168" // "gcl-hyi-glxR-ybbVW-allB-ybbY-glxK"	"transmembrane transport" // "nucleobase transport" // "purine nucleobase metabolic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity" // "nucleobase transmembrane transporter activity"
"msrQ"	"b1972"	2040483	2041118	"periplasmic protein-L-methionine sulfoxide reductase heme binding subunit"	"Chromosome Region 42, 2024539->2073917" // "msrQ" // "msrP"	"electron transport chain" // "protein repair" // "oxidation-reduction process"	"integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"electron transfer activity" // "oxidoreductase activity, acting on diphenols and related substances as donors" // "heme binding" // "FMN binding" // "metal ion binding"
"insM"	"b4561"	4508684	4508942		"Chromosome Region 92, 4493489->4542867" // "insM" // "insI-3"	""	""	""
"ysaD"	"b4649"	3750918	3751109		"Chromosome Region 76, 3703425->3752803"	""	""	""
"entE"	"b0594"	626070	627680	"2,3-dihydroxybenzoate-AMP ligase"	"Chromosome Region 13, 592548->641926" // "entCEBA-ybdB"	"siderophore biosynthetic process" // "enterobactin biosynthetic process"	"membrane" // "cytosol"	"2,3-dihydroxybenzoate-serine ligase activity" // "transferase activity" // "catalytic activity" // "ATP binding" // "nucleotide binding" // "ligase activity" // "transferase activity, transferring acyl groups" // "(2,3-dihydroxybenzoyl)adenylate synthase activity"
"ychH"	"b1205"	1258791	1259069	"stress-induced protein"	"Chromosome Region 26, 1234475->1283853" // "ychH"	"single-species biofilm formation on inanimate substrate" // "cellular response to hydrogen peroxide" // "cellular response to cadmium ion"	""	""
"ybbD"	"b0501"	528640	529130	"putative uncharacterized protein YbbD"	"Chromosome Region 11, 493790->543168" // "ybbD" // "ylbH" // "ybbC" // "rhsD"	""	"integral component of plasma membrane" // "plasma membrane"	""
"ychF"	"b1203"	1256721	1257812	"redox-responsive ATPase YchF"	"Chromosome Region 26, 1234475->1283853" // "ychF" // "pth-ychF"	"negative regulation of catalytic activity" // "response to oxidative stress"	"cytoplasm"	"protein homodimerization activity" // "metal ion binding" // "ATP binding" // "protein binding" // "enzyme inhibitor activity" // "ribosome binding" // "ribosomal large subunit binding" // "ATPase activity" // "GTP binding" // "nucleotide binding"
"yhdX"	"b3269"	3420134	3421315	"putative ABC transporter membrane subunit YhdX"	"Chromosome Region 70, 3407151->3456529" // "yhdWXYZ"	"nitrogen compound transport" // "transmembrane transport" // "amino acid transport" // "transport"	"ATP-binding cassette (ABC) transporter complex" // "plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"yfjV"	"b2641"	2772167	2773182	"CP4-57 prophage; putative arsenite transporter, N-terminal fragment"	"Chromosome Region 57, 2765224->2814602" // "ypjMp" // "yfjV"	""	""	""
"ykgP"	"b4630"	313716	313805	"putative oxidoreductase"	"Chromosome Region 7, 296274->345652"	""	""	""
"ymdE"	"b1028"	1095544	1095846	"putative uncharacterized protein YmdE"	"Chromosome Region 23, 1086338->1135716" // "ycdU" // "ymdE"	""	""	""
"cynX"	"b0341"	359992	361146	CYNX-MONOMER	"Chromosome Region 8, 345653->395031" // "cynTSX"	"transmembrane transport" // "cyanate catabolic process"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"ygiW"	"b3024"	3169284	3169676	"BOF family protein YgiW"	"Chromosome Region 65, 3160256->3209634" // "ygiW"	"cellular response to cadmium ion" // "cellular response to hydrogen peroxide" // "single-species biofilm formation on inanimate substrate"	"outer membrane-bounded periplasmic space" // "periplasmic space"	""
"yrdE"	"b4646"	3404638	3405031		"Chromosome Region 69, 3357772->3407150"	""	""	""
"yfcF"	"b2301"	2419841	2420485	"glutathione <i>S</i>-transferase YfcF"	"Chromosome Region 50, 2419571->2468949" // "yfcF"	"glutathione metabolic process" // "cellular oxidant detoxification" // "oxidation-reduction process" // "response to hydrogen peroxide"	"cytosol"	"maleylacetoacetate isomerase activity" // "transferase activity" // "oxidoreductase activity" // "peroxidase activity" // "glutathione transferase activity"
"ybaL"	"b0478"	501562	503238	"putative transporter YbaL"	"Chromosome Region 11, 493790->543168" // "ybaLp" // "ybaL"	"transmembrane transport" // "proton transmembrane transport" // "cation transmembrane transport" // "potassium ion transport" // "cation transport" // "ion transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"nucleotide binding" // "solute:proton antiporter activity" // "cation transmembrane transporter activity" // "antiporter activity"
"ypaA"	"b4543"	2357816	2358001	"protein YpaA"	"Chromosome Region 48, 2320813->2370191" // "ypaA" // "rpnE"	""	""	""
"yjiV"	"b4486"	4574135	4576855	"putative uncharacterized protein YjiV"	"Chromosome Region 93, 4542868->4592246" // "yjiV"	""	""	""
"maa"	"b0459"	479367	479918	"maltose <i>O</i>-acetyltransferase"	"Chromosome Region 10, 444411->493789" // "maa"	""	"protein-containing complex" // "cytosol"	"identical protein binding" // "transferase activity" // "acetyltransferase activity" // "maltose O-acetyltransferase activity"
"cydC"	"b0886"	927474	929195	"glutathione/L-cysteine ABC exporter subunit CydC"	"Chromosome Region 19, 888822->938200" // "cydDC"	"transmembrane transport" // "cell redox homeostasis" // "regulation of heme biosynthetic process" // "cysteine export across plasma membrane" // "glutathione transmembrane transport"	"cell" // "integral component of plasma membrane" // "ATP-binding cassette (ABC) transporter complex" // "membrane" // "plasma membrane" // "integral component of membrane"	"ATPase activity" // "ATPase-coupled transmembrane transporter activity" // "ATP binding" // "nucleotide binding"
"yjhR"	"b4308"	4535015	4536031	"KpLE2 phage-like element; PLD-like domain-containing protein YjhR"	"Chromosome Region 92, 4493489->4542867" // "yjhR"	""	"cytosol"	""
"exoD"	"b0539"	566098	566361	"DLP12 prophage; putative exonuclease ExoD"	"Chromosome Region 12, 543169->592547" // "exoD"	""	""	""
"yegZ"	"b2083"	2167602	2167820	"phage protein D"	"Chromosome Region 44, 2123297->2172675" // "yegRZ"	""	""	""
"yhjE"	"b3523"	3674786	3676108	"putative transporter YhjE"	"Chromosome Region 75, 3654046->3703424" // "yhjE"	"transmembrane transport"	"plasma membrane" // "integral component of membrane" // "membrane"	"transmembrane transporter activity"
"ibpA"	"b3687"	3867009	3867422	"small heat shock protein IbpA"	"Chromosome Region 79, 3851562->3900940" // "ibpAB"	"protein stabilization" // "response to heat"	"cytosol" // "cytoplasm"	"protein homodimerization activity" // "identical protein binding" // "protein binding"
"yeeH"	"b4639"	2066068	2066154		"Chromosome Region 42, 2024539->2073917"	""	""	""
"ylbI"	"b4632"	529497	529592	"RHS element protein YlbI"	"Chromosome Region 11, 493790->543168"	""	""	""
"yehY"	"b2130"	2217400	2218557	"glycine betaine ABC transporter membrane subunit YehY"	"Chromosome Region 45, 2172676->2222054" // "osmF-yehYXW" // "osmF-yehYXW"	"transmembrane transport" // "amino acid transport" // "glycine betaine transport"	"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing" // "plasma membrane" // "integral component of membrane" // "membrane"	"protein binding"
"hisP"	"b2306"	2423736	2424509	"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit"	"Chromosome Region 50, 2419571->2468949" // "hisJQMP" // "argT-hisJQMP"	"L-arginine import across plasma membrane" // "L-lysine import across plasma membrane" // "L-ornithine import across plasma membrane" // "histidine transport" // "amino acid transport" // "amino acid transmembrane transport" // "L-histidine transmembrane transport" // "L-histidine import across plasma membrane"	"membrane" // "plasma membrane" // "ATP-binding cassette (ABC) transporter complex"	"high-affinity L-ornithine transmembrane transporter activity" // "high-affinity lysine transmembrane transporter activity" // "high-affinity arginine transmembrane transporter activity" // "nucleotide binding" // "ATP binding" // "ATPase activity" // "ATPase-coupled amino acid transmembrane transporter activity" // "high-affinity L-histidine transmembrane transporter activity"
"nmpC"	"b0553"			"DLP12 prophage; putative outer membrane porin NmpC"	"Chromosome Region 12, 543169->592547" // "nmpC"	""	""	""
"ymjB"	"b4524"	1381789	1381902	"hypothetical protein YmjB"	"Chromosome Region 28, 1333233->1382611" // "ompG" // "ymjB" // "ycjV" // "ycjU" // "ycjT" // "ycjS" // "ycjR" // "ycjQ" // "ycjP" // "ycjO" // "ycjN" // "ycjM"	""	"cytosol"	""
"opgH"	"b1049"	1110863	1113406	"osmoregulated periplasmic glucans (OPGs) biosynthesis protein H"	"Chromosome Region 23, 1086338->1135716" // "mdoGH" // "mdoGH"	"glucan biosynthetic process" // "beta-glucan biosynthetic process" // "response to osmotic stress"	"integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"transferase activity" // "transferase activity, transferring hexosyl groups" // "transferase activity, transferring glycosyl groups"
"btuE"	"b1710"	1793558	1794109	"thioredoxin/glutathione peroxidase"	"btuE" // "btuE" // "Chromosome Region 37, 1777644->1827022" // "btuCED"	"cellular oxidant detoxification" // "response to oxidative stress" // "response to hydroperoxide" // "oxidation-reduction process"	"periplasmic space"	"peroxiredoxin activity" // "peroxidase activity" // "oxidoreductase activity" // "thioredoxin peroxidase activity" // "glutathione peroxidase activity"
"baeS"	"b2078"	2162876	2164279	"BaeS-<i>N</i>-phospho-L-histidine" // "sensor histidine kinase BaeS"	"Chromosome Region 44, 2123297->2172675" // "mdtABCD-baeSR" // "baeSR"	"cellular response to cell envelope stress" // "phosphorelay signal transduction system" // "signal transduction by protein phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorylation" // "signal transduction" // "protein autophosphorylation"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"transferase activity, transferring phosphorus-containing groups" // "nucleotide binding" // "transferase activity" // "kinase activity" // "ATP binding" // "protein histidine kinase activity" // "phosphorelay sensor kinase activity"
"ytfA"	"b4205"	4427694	4428095	"putative transcriptional regulator YtfA"	"Chromosome Region 90, 4394731->4444109" // "ytfA"	""	"cytosol"	""
"cutA"	"b4137"	4365018	4365356	"copper binding protein CutA"	"Chromosome Region 89, 4345352->4394730" // "cutA"	"response to metal ion" // "protein homooligomerization" // "response to copper ion"	"cytosol" // "cytoplasm"	"copper ion binding" // "metal ion binding"
