annotation,b_number,complex,gene_name,n_copies
acetylesterase,b0409,SEC-SECRETION-CPLX,secf,1.0
acetylesterase,b0407,SEC-SECRETION-CPLX,yajc,1.0
acetylesterase,b3705,SEC-SECRETION-CPLX,yidc,1.0
acetylesterase,b3300,SEC-SECRETION-CPLX,secy,1.0
acetylesterase,b3175,SEC-SECRETION-CPLX,secg,1.0
acetylesterase,b3981,SEC-SECRETION-CPLX,sece,1.0
acetylesterase,b0893,SERS-CPLX,sers,2.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b1400,CPLX0-8127,ydbz,3.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b2197,CPLX0-3323,ccme,1.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b2196,CPLX0-3323,yejr,1.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b2195,CPLX0-3323,yejq,1.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b2194,CPLX0-3323,yejp,1.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b0452,THIOESTERII-CPLX,tesb,4.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b2754,CPLX0-8173,ygbf,2.0
"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",b3052,CPLX0-3661,hlde,2.0
trans-2-enoyl-CoA reductase,[],TRANSENOYLCOARED-CPLX,transenoylcoared,2.0
trans-2-enoyl-CoA reductase,b0015,CPLX0-8191,grpc,2.0
trans-2-enoyl-CoA reductase,b3656,CPLX0-3901,yici,6.0
xylose isomerase,b3565,XYLISOM-CPLX,xyla,2.0
xylose isomerase,b1972,CPLX0-8213,yedz,1.0
xylose isomerase,b1971,CPLX0-8213,yedy,1.0
xylose isomerase,b0607,CPLX0-3939,yzzu,2.0
xylose isomerase,b3190,CPLX0-8239,ibag,1.0
xylose isomerase,b1654,CPLX0-8239,ydhd,1.0
xylose isomerase,b1244,CPLX0-3970,oppb,1.0
xylose isomerase,b1245,CPLX0-3970,oppc,1.0
xylose isomerase,b1246,CPLX0-3970,oppd,1.0
xylose isomerase,b1247,CPLX0-3970,oppf,1.0
xylose isomerase,b1329,CPLX0-3970,ynah,1.0
xylose isomerase,b4148,CPLX0-8263,suge,2.0
xylose isomerase,b3187,CPLX0-7426,cel,2.0
7-&alpha;-hydroxysteroid dehydrogenase,b1619,7-ALPHA-HYDROXYSTEROID-DEH-CPLX,hdha,4.0
5-keto-D-gluconate 5-reductase,b4266,CPLX0-8292,yjgu,2.0
5-keto-D-gluconate 5-reductase,b0929,CPLX0-7534,nfxb,3.0
5-keto-D-gluconate 5-reductase,b1126,ABC-24-CPLX,pota,2.0
5-keto-D-gluconate 5-reductase,b1125,ABC-24-CPLX,potb,1.0
5-keto-D-gluconate 5-reductase,b1124,ABC-24-CPLX,potc,1.0
5-keto-D-gluconate 5-reductase,b1123,ABC-24-CPLX,potd,1.0
5-keto-D-gluconate 5-reductase,b0911,CPLX0-3953,ssyf,1.0
5-keto-D-gluconate 5-reductase,b0169,CPLX0-3953,rpsb,1.0
5-keto-D-gluconate 5-reductase,b3314,CPLX0-3953,rpsc,1.0
5-keto-D-gluconate 5-reductase,b3296,CPLX0-3953,rama,1.0
5-keto-D-gluconate 5-reductase,b3303,CPLX0-3953,spc,1.0
5-keto-D-gluconate 5-reductase,b4200,CPLX0-3953,sdgh,1.0
5-keto-D-gluconate 5-reductase,b3341,CPLX0-3953,rpsg,1.0
5-keto-D-gluconate 5-reductase,b3306,CPLX0-3953,rpsh,1.0
5-keto-D-gluconate 5-reductase,b3230,CPLX0-3953,rpsi,1.0
5-keto-D-gluconate 5-reductase,b3321,CPLX0-3953,nuse,1.0
5-keto-D-gluconate 5-reductase,b3297,CPLX0-3953,rpsk,1.0
5-keto-D-gluconate 5-reductase,b3342,CPLX0-3953,stra,1.0
5-keto-D-gluconate 5-reductase,b3298,CPLX0-3953,rpsm,1.0
5-keto-D-gluconate 5-reductase,b3307,CPLX0-3953,rpsn,1.0
5-keto-D-gluconate 5-reductase,b3165,CPLX0-3953,secc,1.0
5-keto-D-gluconate 5-reductase,b2609,CPLX0-3953,rpsp,1.0
5-keto-D-gluconate 5-reductase,b3311,CPLX0-3953,neaa,1.0
5-keto-D-gluconate 5-reductase,b4202,CPLX0-3953,rpsr,1.0
5-keto-D-gluconate 5-reductase,b3316,CPLX0-3953,rpss,1.0
5-keto-D-gluconate 5-reductase,b0023,CPLX0-3953,sups,1.0
5-keto-D-gluconate 5-reductase,b3065,CPLX0-3953,rpsu,1.0
5-keto-D-gluconate 5-reductase,b1480,CPLX0-3953,sra,1.0
5-keto-D-gluconate 5-reductase,b3591,CPLX0-8053,fdha,1.0
5-keto-D-gluconate 5-reductase,b3984,CPLX0-3962,rpy,1.0
5-keto-D-gluconate 5-reductase,b3317,CPLX0-3962,rplb,1.0
5-keto-D-gluconate 5-reductase,b3320,CPLX0-3962,rplc,1.0
5-keto-D-gluconate 5-reductase,b3319,CPLX0-3962,erya,1.0
5-keto-D-gluconate 5-reductase,b3308,CPLX0-3962,rple,1.0
5-keto-D-gluconate 5-reductase,b3305,CPLX0-3962,rplf,1.0
5-keto-D-gluconate 5-reductase,b3986,CPLX0-3962,rpll,4.0
5-keto-D-gluconate 5-reductase,b3985,CPLX0-3962,rplj,1.0
5-keto-D-gluconate 5-reductase,b4203,CPLX0-3962,rpli,1.0
5-keto-D-gluconate 5-reductase,b3983,CPLX0-3962,relc,1.0
5-keto-D-gluconate 5-reductase,b3231,CPLX0-3962,rplm,1.0
5-keto-D-gluconate 5-reductase,b3310,CPLX0-3962,rpln,1.0
5-keto-D-gluconate 5-reductase,b3301,CPLX0-3962,rplo,1.0
5-keto-D-gluconate 5-reductase,b3313,CPLX0-3962,rplp,1.0
5-keto-D-gluconate 5-reductase,b3294,CPLX0-3962,rplq,1.0
5-keto-D-gluconate 5-reductase,b3304,CPLX0-3962,rplr,1.0
5-keto-D-gluconate 5-reductase,b2606,CPLX0-3962,rpls,1.0
5-keto-D-gluconate 5-reductase,b1716,CPLX0-3962,pdza,1.0
5-keto-D-gluconate 5-reductase,b3186,CPLX0-3962,rplu,1.0
5-keto-D-gluconate 5-reductase,b3315,CPLX0-3962,eryb,1.0
5-keto-D-gluconate 5-reductase,b3318,CPLX0-3962,rplw,1.0
5-keto-D-gluconate 5-reductase,b3309,CPLX0-3962,rplx,1.0
5-keto-D-gluconate 5-reductase,b2185,CPLX0-3962,rply,1.0
5-keto-D-gluconate 5-reductase,b3185,CPLX0-3962,rpz,1.0
5-keto-D-gluconate 5-reductase,b3637,CPLX0-3962,rpmb,1.0
5-keto-D-gluconate 5-reductase,b3312,CPLX0-3962,rpmc,1.0
5-keto-D-gluconate 5-reductase,b3302,CPLX0-3962,rpmd,1.0
5-keto-D-gluconate 5-reductase,b3936,CPLX0-3962,rpme,1.0
5-keto-D-gluconate 5-reductase,b1089,CPLX0-3962,rpmf,1.0
5-keto-D-gluconate 5-reductase,b3636,CPLX0-3962,rpmg,1.0
5-keto-D-gluconate 5-reductase,b3703,CPLX0-3962,ssaf,1.0
5-keto-D-gluconate 5-reductase,b1717,CPLX0-3962,rpmi,1.0
5-keto-D-gluconate 5-reductase,b3299,CPLX0-3962,secx,1.0
5-keto-D-gluconate 5-reductase,b2696,CPLX0-1041,zfia,18.0
5-keto-D-gluconate 5-reductase,b2696,CPLX0-8253,zfia,9.0
5-keto-D-gluconate 5-reductase,b1480,CPLX0-3964,sra,1.0
5-keto-D-gluconate 5-reductase,b3065,CPLX0-3964,rpsu,1.0
5-keto-D-gluconate 5-reductase,b0023,CPLX0-3964,sups,1.0
5-keto-D-gluconate 5-reductase,b3316,CPLX0-3964,rpss,1.0
5-keto-D-gluconate 5-reductase,b4202,CPLX0-3964,rpsr,1.0
5-keto-D-gluconate 5-reductase,b3311,CPLX0-3964,neaa,1.0
5-keto-D-gluconate 5-reductase,b2609,CPLX0-3964,rpsp,1.0
5-keto-D-gluconate 5-reductase,b3165,CPLX0-3964,secc,1.0
5-keto-D-gluconate 5-reductase,b3307,CPLX0-3964,rpsn,1.0
5-keto-D-gluconate 5-reductase,b3298,CPLX0-3964,rpsm,1.0
5-keto-D-gluconate 5-reductase,b3342,CPLX0-3964,stra,1.0
5-keto-D-gluconate 5-reductase,b3297,CPLX0-3964,rpsk,1.0
5-keto-D-gluconate 5-reductase,b3321,CPLX0-3964,nuse,1.0
5-keto-D-gluconate 5-reductase,b3230,CPLX0-3964,rpsi,1.0
5-keto-D-gluconate 5-reductase,b3306,CPLX0-3964,rpsh,1.0
5-keto-D-gluconate 5-reductase,b3341,CPLX0-3964,rpsg,1.0
5-keto-D-gluconate 5-reductase,b4200,CPLX0-3964,sdgh,1.0
5-keto-D-gluconate 5-reductase,b3303,CPLX0-3964,spc,1.0
5-keto-D-gluconate 5-reductase,b3296,CPLX0-3964,rama,1.0
5-keto-D-gluconate 5-reductase,b3314,CPLX0-3964,rpsc,1.0
5-keto-D-gluconate 5-reductase,b0169,CPLX0-3964,rpsb,1.0
5-keto-D-gluconate 5-reductase,b0911,CPLX0-3964,ssyf,1.0
5-keto-D-gluconate 5-reductase,b3299,CPLX0-3964,secx,1.0
5-keto-D-gluconate 5-reductase,b1717,CPLX0-3964,rpmi,1.0
5-keto-D-gluconate 5-reductase,b3703,CPLX0-3964,ssaf,1.0
5-keto-D-gluconate 5-reductase,b3636,CPLX0-3964,rpmg,1.0
5-keto-D-gluconate 5-reductase,b1089,CPLX0-3964,rpmf,1.0
5-keto-D-gluconate 5-reductase,b3936,CPLX0-3964,rpme,1.0
5-keto-D-gluconate 5-reductase,b3302,CPLX0-3964,rpmd,1.0
5-keto-D-gluconate 5-reductase,b3312,CPLX0-3964,rpmc,1.0
5-keto-D-gluconate 5-reductase,b3637,CPLX0-3964,rpmb,1.0
5-keto-D-gluconate 5-reductase,b3185,CPLX0-3964,rpz,1.0
5-keto-D-gluconate 5-reductase,b2185,CPLX0-3964,rply,1.0
5-keto-D-gluconate 5-reductase,b3309,CPLX0-3964,rplx,1.0
5-keto-D-gluconate 5-reductase,b3318,CPLX0-3964,rplw,1.0
5-keto-D-gluconate 5-reductase,b3315,CPLX0-3964,eryb,1.0
5-keto-D-gluconate 5-reductase,b3186,CPLX0-3964,rplu,1.0
5-keto-D-gluconate 5-reductase,b1716,CPLX0-3964,pdza,1.0
5-keto-D-gluconate 5-reductase,b2606,CPLX0-3964,rpls,1.0
5-keto-D-gluconate 5-reductase,b3304,CPLX0-3964,rplr,1.0
5-keto-D-gluconate 5-reductase,b3294,CPLX0-3964,rplq,1.0
5-keto-D-gluconate 5-reductase,b3313,CPLX0-3964,rplp,1.0
5-keto-D-gluconate 5-reductase,b3301,CPLX0-3964,rplo,1.0
5-keto-D-gluconate 5-reductase,b3310,CPLX0-3964,rpln,1.0
5-keto-D-gluconate 5-reductase,b3231,CPLX0-3964,rplm,1.0
5-keto-D-gluconate 5-reductase,b3983,CPLX0-3964,relc,1.0
5-keto-D-gluconate 5-reductase,b4203,CPLX0-3964,rpli,1.0
5-keto-D-gluconate 5-reductase,b3985,CPLX0-3964,rplj,1.0
5-keto-D-gluconate 5-reductase,b3986,CPLX0-3964,rpll,4.0
5-keto-D-gluconate 5-reductase,b3305,CPLX0-3964,rplf,1.0
5-keto-D-gluconate 5-reductase,b3308,CPLX0-3964,rple,1.0
5-keto-D-gluconate 5-reductase,b3319,CPLX0-3964,erya,1.0
5-keto-D-gluconate 5-reductase,b3320,CPLX0-3964,rplc,1.0
5-keto-D-gluconate 5-reductase,b3317,CPLX0-3964,rplb,1.0
5-keto-D-gluconate 5-reductase,b3984,CPLX0-3964,rpy,1.0
5-keto-D-gluconate 5-reductase,b3704,CPLX0-1382,rnpa,1.0
5-keto-D-gluconate 5-reductase,b2610,SRP-CPLX,ffh,1.0
5-keto-D-gluconate 5-reductase,b2696,CPLX0-8028,zfia,2.0
