Entry	Status	Protein names	Gene names	Cofactor	Entry name	Gene ontology IDs	Gene ontology (GO)	Gene ontology (biological process)	Mass	Metal binding	Keyword ID	Annotation	Function [CC]
P23893	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC b0154 JW0150	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:2045363}; 	GSA_ECOLI	GO:0005829; GO:0006782; GO:0008483; GO:0030170; GO:0033014; GO:0042286; GO:0042802	cytosol [GO:0005829]; glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; protoporphyrinogen IX biosynthetic process [GO:0006782]; tetrapyrrole biosynthetic process [GO:0033014]	protoporphyrinogen IX biosynthetic process [GO:0006782]; tetrapyrrole biosynthetic process [GO:0033014]	45,366		KW-0413; KW-0627; KW-0663; KW-0963; KW-1185	5 out of 5	
P32131	reviewed	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN yihJ b3867 JW3838	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:12114526, ECO:0000269|PubMed:14633981};  Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:12114526, ECO:0000269|PubMed:14633981};	HEMN_ECOLI	GO:0004109; GO:0005737; GO:0006782; GO:0046872; GO:0051539; GO:0051989	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen dehydrogenase activity [GO:0051989]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; protoporphyrinogen IX biosynthetic process [GO:0006782]	protoporphyrinogen IX biosynthetic process [GO:0006782]	52,729	METAL 62;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"; METAL 66;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"; METAL 69;  /note="Iron-sulfur (4Fe-4S-S-AdoMet)";  /evidence="ECO:0000244|PDB:1OLT, ECO:0000269|PubMed:14633981"	KW-0002; KW-0004; KW-0408; KW-0411; KW-0479; KW-0560; KW-0627; KW-0903; KW-0949; KW-0963; KW-1185	5 out of 5	FUNCTION: Involved in the heme biosynthesis. Catalyzes the anaerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen III to yield the vinyl groups in protoporphyrinogen IX. It can use NAD or NADP, but NAD is preferred. {ECO:0000269|PubMed:12114526, ECO:0000269|PubMed:7768836}.
P09127	reviewed	Protein HemX (ORF X)	hemX b3803 JW3775		HEMX_ECOLI	GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		42,963		KW-0472; KW-0812; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185	2 out of 5	
P0ACB7	reviewed	Protein HemY	hemY b3802 JW3774		HEMY_ECOLI	GO:0005886; GO:0006779; GO:0016021; GO:0042168	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; heme metabolic process [GO:0042168]; porphyrin-containing compound biosynthetic process [GO:0006779]	heme metabolic process [GO:0042168]; porphyrin-containing compound biosynthetic process [GO:0006779]	45,245		KW-0472; KW-0627; KW-0677; KW-0802; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	3 out of 5	FUNCTION: Involved in a late step of protoheme IX synthesis.
P0ABC3	reviewed	Modulator of FtsH protease HflC	hflC hflA b4175 JW4133		HFLC_ECOLI	GO:0009408; GO:0043086; GO:0052547; GO:0071575; GO:0098796	integral component of external side of plasma membrane [GO:0071575]; membrane protein complex [GO:0098796]; negative regulation of catalytic activity [GO:0043086]; regulation of peptidase activity [GO:0052547]; response to heat [GO:0009408]	negative regulation of catalytic activity [GO:0043086]; regulation of peptidase activity [GO:0052547]; response to heat [GO:0009408]	37,650		KW-0472; KW-0735; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: HflC and HflK help govern the stability of phage lambda cII protein, and thereby control the lysogenization frequency of phage lambda. HflKC inhibits the SecY-degrading activity of FtsH, possibly helping quality control of integral membrane proteins. {ECO:0000269|PubMed:8947034}.
P0ABC7	reviewed	Modulator of FtsH protease HflK	hflK hflA b4174 JW4132		HFLK_ECOLI	GO:0005829; GO:0009408; GO:0043086; GO:0071575; GO:0098796	cytosol [GO:0005829]; integral component of external side of plasma membrane [GO:0071575]; membrane protein complex [GO:0098796]; negative regulation of catalytic activity [GO:0043086]; response to heat [GO:0009408]	negative regulation of catalytic activity [GO:0043086]; response to heat [GO:0009408]	45,545		KW-0472; KW-0735; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185	4 out of 5	FUNCTION: HflC and HflK help govern the stability of phage lambda cII protein, and thereby control the lysogenization frequency of phage lambda. HflKC inhibits the SecY-degrading activity of FtsH, possibly helping quality control of integral membrane proteins. {ECO:0000269|PubMed:8947034}.
P25519	reviewed	GTPase HflX (GTP-binding protein HflX)	hflX b4173 JW4131	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00900}; 	HFLX_ECOLI	GO:0003924; GO:0005524; GO:0005525; GO:0005737; GO:0005829; GO:0009408; GO:0016887; GO:0019843; GO:0032790; GO:0036289; GO:0043022; GO:0043023; GO:0046872; GO:0072344; GO:0097216	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; peptidyl-serine autophosphorylation [GO:0036289]; rescue of stalled ribosome [GO:0072344]; response to heat [GO:0009408]; ribosome disassembly [GO:0032790]	peptidyl-serine autophosphorylation [GO:0036289]; rescue of stalled ribosome [GO:0072344]; response to heat [GO:0009408]; ribosome disassembly [GO:0032790]	48,327	METAL 211;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00900"; METAL 231;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_00900"	KW-0002; KW-0067; KW-0342; KW-0460; KW-0479; KW-0547; KW-0963; KW-1185	5 out of 5	FUNCTION: GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis. In vitro, also exhibits ATPase activity. {ECO:0000255|HAMAP-Rule:MF_00900, ECO:0000269|PubMed:19109926, ECO:0000269|PubMed:19181811, ECO:0000269|PubMed:19824612}.
P0A6X3	reviewed	RNA-binding protein Hfq (HF-1) (Host factor-I protein) (HF-I)	hfq b4172 JW4130		HFQ_ECOLI	GO:0003681; GO:0003723; GO:0005829; GO:0006355; GO:0040033; GO:0043487; GO:0045974; GO:0045975	cytosol [GO:0005829]; bent DNA binding [GO:0003681]; RNA binding [GO:0003723]; negative regulation of translation, ncRNA-mediated [GO:0040033]; positive regulation of translation, ncRNA-mediated [GO:0045975]; regulation of RNA stability [GO:0043487]; regulation of transcription, DNA-templated [GO:0006355]; regulation of translation, ncRNA-mediated [GO:0045974]	negative regulation of translation, ncRNA-mediated [GO:0040033]; positive regulation of translation, ncRNA-mediated [GO:0045975]; regulation of RNA stability [GO:0043487]; regulation of transcription, DNA-templated [GO:0006355]; regulation of translation, ncRNA-mediated [GO:0045974]	11,166		KW-0002; KW-0238; KW-0346; KW-0694; KW-0903; KW-1185	5 out of 5	FUNCTION: RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Involved in the regulation of stress responses mediated by the sigma factors RpoS, sigma-E and sigma-32 (PubMed:17158661). Binds with high specificity to tRNAs (PubMed:18230766). Binds sRNA antitoxin RalA (PubMed:24748661). In vitro, stimulates synthesis of long tails by poly(A) polymerase I (PubMed:10677490). Required for RNA phage Qbeta replication (PubMed:805130). Seems to play a role in persister cell formation; upon overexpression decreases persister cell formation while deletion increases persister formation (PubMed:19909729). {ECO:0000269|PubMed:10677490, ECO:0000269|PubMed:17158661, ECO:0000269|PubMed:18230766, ECO:0000269|PubMed:19909729, ECO:0000269|PubMed:24748661, ECO:0000269|PubMed:805130}.
P0ACE3	reviewed	Hemolysin expression-modulating protein Hha	hha b0460 JW0449		HHA_ECOLI	GO:0005829; GO:0010468	cytosol [GO:0005829]; regulation of gene expression [GO:0010468]	regulation of gene expression [GO:0010468]	8,628		KW-0002; KW-0678; KW-0804; KW-0805; KW-1185	5 out of 5	FUNCTION: Down-regulates hemolysin (hly) expression in complex with H-NS (PubMed:1956303, PubMed:10778755, PubMed:11790731, PubMed:21600204). Stimulates transposition events in vivo (PubMed:8145648). Modifies the set of genes regulated by H-NS; Hha and Cnu (YdgT) increase the number of genes DNA bound by H-NS/StpA and may also modulate the oligomerization of the H-NS/StpA-complex (PubMed:23543115). Binds DNA and influences DNA topology in response to environmental stimuli; does not however interact with DNA in the absence of H-NS (PubMed:23543115). Involved in persister cell formation, acting downstream of mRNA interferase (toxin) MqsR (PubMed:19909729). Decreases biofilm formation by repressing the transcription of fimbrial genes fimA and ihfA, and by repressing the transcription of tRNAs corresponding to rare codons, which are abundant in type 1 fimbrial genes (PubMed:18545668). {ECO:0000269|PubMed:10778755, ECO:0000269|PubMed:11790731, ECO:0000269|PubMed:16317765, ECO:0000269|PubMed:18545668, ECO:0000269|PubMed:1956303, ECO:0000269|PubMed:19909729, ECO:0000269|PubMed:21600204, ECO:0000269|PubMed:23543115, ECO:0000269|PubMed:8145648}.
P23874	reviewed	Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA)	hipA b1507 JW1500		HIPA_ECOLI	GO:0000287; GO:0000976; GO:0001217; GO:0004674; GO:0005524; GO:0005829; GO:0022611; GO:0032993; GO:0036289; GO:0043086; GO:0043565; GO:0044010; GO:0046677	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; dormancy process [GO:0022611]; negative regulation of catalytic activity [GO:0043086]; peptidyl-serine autophosphorylation [GO:0036289]; response to antibiotic [GO:0046677]; single-species biofilm formation [GO:0044010]	dormancy process [GO:0022611]; negative regulation of catalytic activity [GO:0043086]; peptidyl-serine autophosphorylation [GO:0036289]; response to antibiotic [GO:0046677]; single-species biofilm formation [GO:0044010]	49,276		KW-0002; KW-0046; KW-0067; KW-0238; KW-0418; KW-0547; KW-0597; KW-0678; KW-0723; KW-0808; KW-0903; KW-1185; KW-1277	5 out of 5	FUNCTION: Toxic component of a type II toxin-antitoxin (TA) system, first identified by mutations that increase production of persister cells, a fraction of cells that are phenotypic variants not killed by antibiotics, which lead to multidrug tolerance (PubMed:6348026, PubMed:8021189, PubMed:16707675, PubMed:26222023). Persistence may be ultimately due to global remodeling of the persister cell's ribosomes (PubMed:25425348). Phosphorylates Glu-tRNA-ligase (AC P04805, gltX, on 'Ser-239') in vivo (PubMed:24095282, PubMed:24343429). Phosphorylation of GltX prevents it from being charged, leading to an increase in uncharged tRNA(Glu). This induces amino acid starvation and the stringent response via RelA/SpoT and increased (p)ppGpp levels, which inhibits replication, transcription, translation and cell wall synthesis, reducing growth and leading to persistence and multidrug resistance (PubMed:24095282, PubMed:24343429, PubMed:25848049). Once the level of HipA exceeds a threshold cells become dormant, and the length of dormancy is determined by how much HipA levels exceed the threshold (PubMed:20616060). The hipA7 mutation (a double G22S D291A mutation) leads to increased generation of persister cells (cells that survive antibiotic treatment) probably by entering into a dormant state, as well as cold-sensitivity (PubMed:14622409, PubMed:16707675). Wild-type cells produce persisters at a frequency of 10(-6) to 10(-5) whereas hipA7 cells produce about 100-fold more persisters (PubMed:14622409, PubMed:16707675, PubMed:25425348). hipA7 decreases the affinity for antitoxin HipB, leading to increased HipA levels and persistence (PubMed:20616060); depending on the protein level, can be toxic enough to reduce cell growth or even kill cells. Generation of persister cells requires (p)ppGpp as cells lacking relA or relA/spoT generate fewer or no persister cells respectively compared to hipA7 (PubMed:14622409, PubMed:25848049). Generation of persister cells by HipA also requires mRNA interferase toxins (such as MazF, RelE or YafO) and Lon protease; a strain deleted for 10 type II TAs does not produce persisters when HipA (or HipA7) is expressed, nor does a lon deletion strain or bacteria with alterations of polyphosphate levels, although levels of (p)ppGpp increase (PubMed:25848049). The toxic effect of HipA is neutralized by its cognate antitoxin HipB (PubMed:20616060). Also neutralized by overexpression of gltX (PubMed:24343429, PubMed:28430938). With HipB acts as a corepressor for transcription of the hipBA promoter (PubMed:8021189); binding of HipA-HipB to DNA induces a 70 degree bend (PubMed:19150849, PubMed:26222023). This brings together and dimerizes 2 HipA molecules, which distorts the promoter region, preventing sigma-factor binding; additionally HipA and HipB would physically prevent RNA core polymerase from contacting the -35 promoter box (PubMed:26222023). May play a role in biofilm formation (PubMed:23329678). {ECO:0000269|PubMed:14622409, ECO:0000269|PubMed:16707675, ECO:0000269|PubMed:17041039, ECO:0000269|PubMed:19150849, ECO:0000269|PubMed:20616060, ECO:0000269|PubMed:23329678, ECO:0000269|PubMed:23667235, ECO:0000269|PubMed:24095282, ECO:0000269|PubMed:24343429, ECO:0000269|PubMed:25425348, ECO:0000269|PubMed:25848049, ECO:0000269|PubMed:26222023, ECO:0000269|PubMed:28430938, ECO:0000269|PubMed:6348026, ECO:0000269|PubMed:8021189}.
P23873	reviewed	Antitoxin HipB	hipB b1508 JW1501		HIPB_ECOLI	GO:0000976; GO:0000985; GO:0001217; GO:0006351; GO:0032993; GO:0043565; GO:0045892	protein-DNA complex [GO:0032993]; bacterial-type RNA polymerase core promoter sequence-specific DNA binding [GO:0000985]; DNA-binding transcription repressor activity [GO:0001217]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]	negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]	10,016		KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-0903; KW-1185; KW-1277	5 out of 5	FUNCTION: Antitoxin component of a type II toxin-antitoxin (TA) system. Neutralizes the toxic effect of cognate toxin HipA (PubMed:20616060). Also neutralizes the toxic effect of non-cognate toxin YjjJ (PubMed:28430938). Binds to operator sites with the consensus sequence 5-'TATCCN(8)GGATA-3' to repress the hipBA operon promoter (PubMed:8021189, PubMed:19150849); binding of HipB(2) to DNA induces a 70 degree bend (PubMed:19150849). This forces HipA dimerization, which blocks HipA's active site and thus its toxic action (PubMed:26222023). May play a role in biofilm formation (PubMed:23329678). {ECO:0000269|PubMed:19150849, ECO:0000269|PubMed:20616060, ECO:0000269|PubMed:23329678, ECO:0000269|PubMed:26222023, ECO:0000269|PubMed:28430938, ECO:0000269|PubMed:8021189}.
P10371	reviewed	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA b2024 JW2006		HIS4_ECOLI	GO:0000105; GO:0000162; GO:0003949; GO:0005829; GO:0006974	cytosol [GO:0005829]; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; cellular response to DNA damage stimulus [GO:0006974]; histidine biosynthetic process [GO:0000105]; tryptophan biosynthetic process [GO:0000162]	cellular response to DNA damage stimulus [GO:0006974]; histidine biosynthetic process [GO:0000105]; tryptophan biosynthetic process [GO:0000162]	26,033		KW-0028; KW-0368; KW-0413; KW-0963; KW-1185	4 out of 5	
P06987	reviewed	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]	hisB b2022 JW2004	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01022}; ; COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_01022}; 	HIS7_ECOLI	GO:0000105; GO:0004401; GO:0004424; GO:0005737; GO:0042802; GO:0046872	cytoplasm [GO:0005737]; histidinol-phosphatase activity [GO:0004401]; identical protein binding [GO:0042802]; imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; metal ion binding [GO:0046872]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]	40,278	METAL 9;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 11;  /note="Magnesium; via carbonyl oxygen";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 93;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 95;  /note="Zinc; via pros nitrogen";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 101;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 103;  /note="Zinc";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"; METAL 130;  /note="Magnesium";  /evidence="ECO:0000255|HAMAP-Rule:MF_01022"	KW-0028; KW-0368; KW-0378; KW-0456; KW-0460; KW-0479; KW-0511; KW-0862; KW-0963; KW-1185	4 out of 5	
P06986	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:11294630, ECO:0000269|PubMed:11518529}; 	HIS8_ECOLI	GO:0000105; GO:0004400; GO:0005829; GO:0030170; GO:0042802	cytosol [GO:0005829]; histidinol-phosphate transaminase activity [GO:0004400]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]	39,360		KW-0002; KW-0028; KW-0032; KW-0368; KW-0663; KW-0808; KW-1185	4 out of 5	
P06988	reviewed	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD b2020 JW2002	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:11842181};  Note=Binds 1 zinc ion per subunit. {ECO:0000269|PubMed:11842181};	HISX_ECOLI	GO:0000105; GO:0004399; GO:0005829; GO:0008270; GO:0030145; GO:0046872; GO:0051287	cytosol [GO:0005829]; histidinol dehydrogenase activity [GO:0004399]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]	46,110	METAL 259;  /note="Zinc";  /evidence="ECO:0000269|PubMed:11842181"; METAL 262;  /note="Zinc";  /evidence="ECO:0000269|PubMed:11842181"; METAL 360;  /note="Zinc";  /evidence="ECO:0000269|PubMed:11842181"; METAL 419;  /note="Zinc";  /evidence="ECO:0000269|PubMed:11842181"	KW-0002; KW-0028; KW-0368; KW-0479; KW-0520; KW-0560; KW-0862; KW-0903; KW-1185	5 out of 5	FUNCTION: Catalyzes the sequential NAD-dependent oxidations of L-histidinol to L-histidinaldehyde and then to L-histidine. {ECO:0000255|HAMAP-Rule:MF_01024}.
P60664	reviewed	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF b2025 JW2007		HIS6_ECOLI	GO:0000105; GO:0000107; GO:0005829; GO:0009382; GO:0016829	cytosol [GO:0005829]; imidazoleglycerol-phosphate synthase complex [GO:0009382]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]	28,454		KW-0028; KW-0368; KW-0456; KW-0903; KW-0963; KW-1185	5 out of 5	FUNCTION: IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit.
